Method,Mean IoU,Pointing Game,Heatmap Coverage
Grad-CAM,0.1819126688323647,0.7858267716535433,0.6252047187267755
Grad-CAM++,0.19168069357298897,0.7968503937007874,0.6300210543134221
Integrated Gradients,0.0012223103410619717,0.20346456692913387,0.2116145518715265
